MJD,m,dm,uJy,duJy,SNR,F,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57807.3504,3.806,0.004,109033692,483934,225.306946815,o,112.79236,25.95415,127.13,8001.81,4.62,4.31,88.1,-0.476,18.81,20.79,01a57807o0195o
57809.32521,3.39,0.01,159953430,1562933,102.34183423,o,112.61327,26.01782,2451.6,6538.7,4.09,3.93,-71.9,-0.563,18.59,20.48,01a57809o0207o
57809.36787,4.536,0.012,55665884,666881,83.471989755,o,112.60936,26.01908,2397.31,6616.12,4.17,3.97,-72.9,-0.555,17.32,19.12,01a57809o0279o
57809.37666,7.985,0.139,2322479,323585,7.177338257,c,112.60858,26.0193,9685.66,1640.81,3.9,3.6,79.5,-0.446,17.62,19.33,02a57809o0298c
57817.27826,6.117,0.052,12973124,679145,19.102141663,o,112.22385,26.20112,9450.72,6763.82,3.54,3.44,79.8,-0.475,18.67,20.22,01a57817o0112o
57817.29226,6.507,0.075,9059680,678582,13.350899375,o,112.2235,26.20135,9469.51,6801.94,3.65,3.51,73.5,-0.472,18.65,20.24,01a57817o0138o
57817.3071,6.591,0.165,8388966,1384564,6.05892252,o,112.22314,26.20158,9397.77,6723.89,3.68,3.57,63.3,-0.467,18.62,20.26,01a57817o0165o
57817.322,5.876,0.032,16202258,515675,31.419514228,o,112.22278,26.20181,9382.69,6841.83,3.7,3.63,-70.6,-0.463,18.67,20.36,01a57817o0191o
57819.24573,5.404,0.045,25015917,1136086,22.019386736,o,112.2098,26.22941,2623.05,3811.57,3.87,3.39,-76.5,-0.484,17.7,18.42,01a57819o0088o
57819.2718,5.784,0.04,17634922,696623,25.314871889,o,112.20959,26.22976,2665.43,3842.52,4.18,3.58,-74.3,-0.482,17.66,18.32,01a57819o0137o
57819.28948,5.8,0.021,17370117,358795,48.412371967,o,112.20945,26.22999,2677.96,3720.94,4.32,3.75,-75.9,-0.447,17.58,18.25,01a57819o0169o
57827.27436,6.438,0.228,9654437,2200754,4.386876952,o,112.47701,26.28074,9643.28,2764.67,3.89,3.68,23.1,-0.426,19.01,20.78,01a57827o0111o
57827.28588,6.628,0.153,8103366,1240664,6.531475081,o,112.47766,26.28074,979.1,7830.03,3.78,3.44,67,-0.48,18.85,20.41,01a57827o0134o
57827.30249,6.358,0.128,10395687,1331802,7.805730131,o,112.4786,26.28073,909.39,7753.18,3.77,3.38,81.2,-0.477,18.74,20.23,01a57827o0165o
57827.31792,5.705,0.007,18963714,127014,149.304123954,o,112.47948,26.28072,894.5,7872.23,4.19,3.71,78.2,-0.464,18.63,20.15,01a57827o0191o
57829.27685,6.12,0.059,12945434,764039,16.943420427,o,112.6224,26.27823,621.78,8321.18,4.01,3.46,73.5,-0.474,19.02,20.9,01a57829o0110o
57829.29165,5.692,0.011,19201312,207189,92.675344733,o,112.62346,26.27818,553.2,8244.52,4.24,3.66,74.3,-0.47,19.03,20.93,01a57829o0137o
57829.30646,5.572,0.009,21443563,189400,113.218389651,o,112.62453,26.27813,538.5,8361.4,3.94,3.58,78.7,-0.477,19.05,20.92,01a57829o0164o
57829.32384,5.922,0.151,15524448,2337546,6.641344384,o,112.62581,26.27804,10246.18,1494.26,3.83,3.41,74.2,-0.489,18.64,20.11,02a57829o0199o
57829.32635,6.97,0.03,5914138,178429,33.145609738,o,112.62599,26.27803,410.47,1431.58,3.96,3.88,-40.2,-0.411,18.6,20.06,02a57829o0203o
57829.33835,7.911,0.218,2485554,541336,4.591518022,o,112.62686,26.27798,482.69,1507.37,3.87,3.64,-83.2,-0.432,18.62,20.01,02a57829o0225o
57829.35477,5.447,0.267,24052455,6423815,3.744263338,o,112.62807,26.2779,10284.4,1535.17,3.79,3.38,72.4,-0.476,18.48,19.71,02a57829o0254o
57829.36101,7.521,0.113,3561436,402448,8.849431479,o,112.62853,26.27787,10304.94,1415.09,4.16,3.75,23.4,-0.459,18.34,19.6,02a57829o0266o
57829.36149,8.212,0.194,1885342,365334,5.160598247,o,112.62857,26.27787,467.52,1444.78,3.83,3.6,-88.7,-0.435,18.41,19.51,02a57829o0267o
57831.22958,6.406,0.056,9942426,553867,17.950926847,o,112.79366,26.27014,1475.46,2174.3,3.84,3.16,-88.6,-0.511,18.74,20.28,01a57831o0023o
57831.25483,6.787,0.091,7001479,634810,11.029251272,o,112.79584,26.27,9076.06,8292.63,3.85,3.33,68.5,-0.469,19.04,20.73,01a57831o0069o
57831.26917,8.326,0.211,1697319,358282,4.737382843,o,112.79708,26.26992,9065.94,8410.98,3.96,3.5,67.8,-0.458,19,20.73,01a57831o0096o
57833.36989,8.283,0.051,1764811,89953,19.619256722,c,113.01211,26.25482,9154.08,1100.99,3.8,3.53,-89.9,-0.429,18.95,20.65,02a57833o0272c
57833.37834,6.859,0.005,6551944,34349,190.746280823,c,113.01299,26.25473,9118.43,1157.98,3.81,3.56,-88.6,-0.426,18.92,20.64,02a57833o0287c
57835.28112,6.608,0.071,8257547,582910,14.16607538,o,113.23662,26.23596,924.11,8370.64,3.89,3.61,60.9,-0.458,18.85,20.63,01a57835o0034o
57836.23244,7.646,0.029,3173522,92056,34.473820283,o,113.35805,26.2246,7774.69,2722.62,4.46,3.94,33.6,-0.428,18.67,20.49,01a57836o0017o
57839.22833,7.143,0.033,5043767,166548,30.284164324,o,113.77993,26.18064,8771.68,4138,3.78,3.36,33.7,-0.452,18.73,20.15,01a57839o0016o
57840.22744,7.822,0.033,2698890,90244,29.906586587,o,113.93405,26.16325,7110.7,1635.63,4.35,3.67,32,-0.428,18.57,19.83,01a57840o0014o
57840.22797,7.877,0.03,2566296,78205,32.814986254,o,113.93413,26.16324,7092.93,1596.64,4.31,3.64,30.3,-0.434,18.64,19.94,01a57840o0015o
57840.23666,6.047,0.259,13844850,3585706,3.861122467,o,113.93543,26.16308,3449.77,8870.03,3.1,3.04,61.3,-0.506,19.05,20.74,01a57840o0031o
57840.2564,6.293,0.183,11033599,2014508,5.477068842,o,113.93839,26.16272,3442.64,8987.27,3.34,3.22,52.1,-0.489,19.05,20.81,01a57840o0068o
57843.22257,7.049,0.081,5500444,448256,12.27076492,o,114.43502,26.10305,5305.98,2185.36,3.7,3.33,23.3,-0.492,17.74,18.2,01a57843o0018o
57843.22993,6.917,0.022,6210108,134429,46.196192785,o,114.43627,26.10289,5317.74,2223.33,3.62,3.35,22.9,-0.489,18.69,20.06,01a57843o0029o
57843.23711,6.098,0.217,13203170,2860369,4.615897459,o,114.43748,26.10273,5235.56,8272.06,3.07,2.99,19.9,-0.507,18.99,20.62,01a57843o0042o
57844.22476,7.442,0.024,3831764,93528,40.969164314,o,114.61531,26.08023,4945.45,3285.85,4.41,4.17,28.5,-0.471,17.86,18.89,01a57844o0007o
57844.2308,6.906,0.061,6275951,382926,16.389461671,o,114.61637,26.08009,4959.04,3323.76,3.87,3.62,18.6,-0.498,18.65,20.19,01a57844o0017o
57844.24942,6.435,0.099,9683993,961371,10.073107052,o,114.61963,26.07964,5576.73,7284.41,3.12,3.01,34.6,-0.501,19,20.69,01a57844o0052o
57864.32717,6.65,0.015,7942944,116659,68.086851421,o,119.39116,25.3437,2236.92,9676.2,4.3,4.05,62,-0.438,18.14,19.63,01a57864o0206o
57868.32757,6.756,0.024,7205603,172131,41.861158071,o,120.56701,25.13358,4970.16,8683.24,3.7,3.56,-17.7,-0.466,18.05,19.5,01a57868o0234o
57868.34131,6.574,0.012,8522542,103091,82.670087592,o,120.57111,25.13279,4904.65,8608.15,3.86,3.59,-11.7,-0.454,18.06,19.49,01a57868o0261o
57877.24056,6.918,0.235,6206074,1461307,4.246933738,o,123.40378,24.58867,664.21,9415.13,2.99,2.79,-83.4,-0.433,18.58,19.1,02a57877o0020o
57901.26165,7.118,0.194,5159729,1002560,5.146553822,c,132.17503,22.58734,3719.05,5667.2,2.85,2.8,89,-0.479,19.25,20.71,02a57901o0048c
57901.27173,6.9,0.078,6310047,491534,12.837457836,c,132.17895,22.58632,3728.57,5547.76,3.06,2.99,-71.9,-0.482,19.21,20.74,02a57901o0067c
58104.64963,7.7,0.052,3020191,155874,19.375848441,o,224.86004,-11.47565,5905.74,3276.38,4.24,3.74,-86.4,-0.436,18.28,19.56,01a58104o0360o
58104.65794,8.693,0.119,1210408,143910,8.410867903,o,224.8641,-11.47679,5872.55,3225.33,4.1,3.7,-85.6,-0.37,17.95,19.07,01a58104o0377o
58112.63789,8.227,0.112,1858590,207290,8.966134401,o,228.77763,-12.51167,7988.43,1144.75,4.54,3.87,85.8,-0.405,18.4,19.86,01a58112o0940o
58116.64168,7.786,0.052,2790171,144812,19.267539982,o,230.73702,-12.99517,6889.25,846.93,4,3.18,87.9,-0.43,18.65,20.01,01a58116o0921o
58116.64954,8.448,0.287,1515801,434398,3.489429048,o,230.74085,-12.99611,6855.26,794.71,3.93,3.17,88.1,-0.422,18.64,20,01a58116o0938o
58116.65758,7.852,0.064,2624720,169025,15.528590445,o,230.74475,-12.99706,6897.54,857.6,3.97,3.27,89.4,-0.425,18.55,19.87,01a58116o0955o
58116.66617,7.774,0.127,2821631,358956,7.860659802,o,230.74892,-12.99808,6898.58,722.2,3.8,3.1,89.8,-0.434,17.9,18.7,01a58116o0972o
58124.62078,8.168,0.043,1962770,84508,23.22584844,o,234.62745,-13.88484,5668.63,8531.22,4.86,3.76,-82.9,-0.361,18.11,19.18,01a58124o0893o
58128.62831,8.269,0.013,1788332,23209,77.053384462,o,236.57099,-14.29374,1384.63,9023.32,4.71,3.81,-84.4,-0.327,18.46,19.86,01a58128o0797o
58128.63676,8.546,0.028,1385785,38545,35.952393306,o,236.57505,-14.29458,1357.91,8971.79,4.61,3.92,-84,-0.327,18.46,19.9,01a58128o0814o
58128.64533,8.773,0.021,1124518,23778,47.292371099,o,236.57917,-14.29544,1397.94,9032.9,4.68,4.13,-82.7,-0.315,18.46,19.94,01a58128o0831o
58128.65413,8.209,0.02,1889533,37003,51.064319109,o,236.58339,-14.29632,1399.02,8895.85,4.57,3.78,-84.8,-0.34,18.53,19.96,01a58128o0848o
58219.58423,6.743,0.244,7290348,1777426,4.10163236,o,271.98018,-17.49399,5475.4,8599.88,3.88,3.17,-85.1,-0.405,18.83,20.5,01a58219o0285o
58223.58226,7.307,0.1,4338314,433927,9.997796864,o,272.75099,-17.49478,4763.89,8834.68,3.47,3.35,-41.5,-0.407,18.73,20.32,01a58223o0572o
58260.59744,5.139,0.199,31937231,6344815,5.033595305,o,273.99886,-18.14563,2553.5,9629.64,4.23,3.59,88.6,-0.444,18.57,20.53,01a58260o0718o
58313.37704,6.433,0.092,9697985,895670,10.827631828,c,262.66464,-21.55765,9265.7,10359.88,3.29,2.77,48.2,-0.401,19.26,21.11,02a58313o0013c
58337.32516,6.211,0.17,11905357,2025893,5.876597135,c,261.30928,-23.1867,2325.66,8656.75,2.88,2.69,-54.8,-0.386,19.36,21.29,02a58337o0195c
58347.3116,7.576,0.174,3385826,588357,5.754713549,o,262.18632,-23.80665,348.74,1408.29,4.08,3.18,-6.6,-0.387,18.7,20.34,01a58347o0076o
58415.26405,7.569,0.072,3406043,245774,13.858434984,o,284.09188,-25.63198,9924.94,6202.97,4.78,3.67,-83.4,-0.434,17.68,18.59,01a58415o0099o
58415.27055,7.51,0.031,3596275,110261,32.61602017,o,284.09479,-25.63184,374.81,6349.11,3.68,3.43,-84.8,-0.428,17.74,18.69,01a58415o0113o
58415.27195,7.66,0.065,3132724,203440,15.398761305,o,284.09542,-25.63181,9965.17,6243.9,4.94,3.68,-82.1,-0.404,17.6,18.48,01a58415o0116o
58431.24344,7.677,0.033,3084510,102791,30.007588212,o,291.56424,-25.08847,4168.58,4154.26,3.13,2.99,11,-0.453,18.82,20.12,01a58431o0097o
58433.20531,8.785,0.16,1111226,177970,6.243895038,c,292.51041,-24.99077,4879.32,4719.58,3.33,2.89,-65.5,-0.363,16.6,17.77,02a58433o0026c
58461.19434,9.022,0.097,893719,86822,10.293692842,c,306.37738,-22.86126,2824.24,3617.5,3.15,3.07,72.2,-0.384,17.7,18.83,02a58461o0022c
58461.20285,8.898,0.024,1001690,24136,41.501905866,c,306.38162,-22.8604,2851.22,3654.8,3.84,3.78,87.4,-0.362,18.4,19.96,02a58461o0040c
58693.52464,9.126,0.232,811757,188345,4.309947171,o,47.36845,10.39507,7739.99,5189.46,3.32,3.04,-11.1,-0.413,18.97,20.4,01a58693o0527o
58693.53476,8.763,0.046,1134909,52318,21.692515004,o,47.37143,10.3956,7775.77,5228.87,3.27,2.95,-10.3,-0.419,19.07,20.48,01a58693o0547o
58699.586,9.534,0.18,557757,100414,5.554574063,c,49.10978,10.67915,8175.5,6658.12,2.73,2.51,44.5,-0.386,19.57,21.32,02a58699o0632c
58703.50859,10.251,0.291,288248,83785,3.440329414,c,50.17105,10.83151,10197.5,6353.59,2.7,2.52,26.3,-0.401,19.53,21.3,02a58703o0550c
