###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57357.33638,8.864,0.203,1033940,209980,o,0,25.16,3.11514,-8.46583,3895.95,2789.36,4.02,3.59,-27.3,-0.421,19.26,20.94,02a57357o0259o
57358.27981,7.671,0.084,3102383,261327,o,0,0,3.19948,-8.36501,4589.28,3275.15,4.17,3.94,-38.4,-0.443,19.11,20.87,02a57358o0181o
57358.29574,4.56,0.044,54436556,2377903,o,0,0,3.20083,-8.36329,4874.23,3861.42,3.9,3.69,-42.8,-0.451,19.14,20.8,02a57358o0207o
57358.31224,7.53,0.066,3531358,233147,o,0,0,3.20223,-8.3615,4013.93,2699.33,4.29,3.73,-26.1,-0.44,19.12,20.77,02a57358o0234o
57358.32816,-9.771,0.593,-448164,265734,o,0,0,3.20358,-8.35978,3721.67,4444.22,3.9,3.58,-49.2,-0.425,19.15,20.76,02a57358o0260o
57359.28748,6.875,0.02,6455005,129667,o,0,0,3.29472,-8.25526,4409.26,3488.95,3.97,3.74,-43.4,-0.441,19.06,20.73,02a57359o0056o
57359.30321,8.3,0.079,1738199,137372,o,0,0,3.29615,-8.25353,4693.51,4073.71,4.02,3.79,-58.9,-0.45,19.09,20.8,02a57359o0082o
57359.31957,8.074,0.221,2139127,473293,o,0,0,3.29763,-8.25172,3830.7,2911.99,4.28,3.79,-30.5,-0.441,19.11,20.78,02a57359o0109o
57359.33536,6.841,0.01,6663778,67688,o,0,0,3.29908,-8.24997,3536.96,4657.1,4.04,3.69,-53.2,-0.431,19.11,20.78,02a57359o0135o
57374.24215,9.189,0.158,766509,121472,c,0,4.35,5.35123,-6.40104,606.75,6837.17,3.95,2.89,37.2,-0.425,17.51,18.75,02a57374o0091c
57382.25945,9.671,0.172,491414,84400,o,0,0,6.89218,-5.26461,7203.45,9299.19,4.11,3.93,82.6,-0.418,18.31,19.39,02a57382o0039o
57382.27033,10.052,0.149,346250,51686,o,0,29.74,6.89439,-5.26301,4902.72,207.68,5.44,4.24,-12.5,-0.481,18.26,19.39,02a57382o0055o
57382.27508,8.996,0.101,915324,92094,o,0,1.24,6.89536,-5.26231,7508.5,9893.78,3.81,3.76,62.7,-0.433,18.36,19.34,02a57382o0062o
57382.2922,8.77,0.08,1127233,89822,o,0,4.3,6.89884,-5.2598,6611.91,8721.92,4.06,3.8,-89.6,-0.44,18.24,19.27,02a57382o0087o
57382.30458,11.683,2.24,77071,172634,o,0,0,6.90137,-5.25797,3729.83,798.94,5.24,3.93,-17.8,-0.511,18.25,19.23,02a57382o0105o
57382.31011,8.28,0.072,1769550,126682,o,0,8.52,6.9025,-5.25716,6314.95,10486.71,4.15,4.13,-12,-0.418,18.17,19.18,02a57382o0113o
57398.26017,11.84,0.861,66669,57425,c,0,280.04,10.70132,-2.789,7238.66,4966.63,3.88,3.64,86.5,-0.442,19.32,21.13,02a57398o0104c
57398.27669,11.484,0.426,92585,39460,c,0,157.34,10.70562,-2.78633,6391.61,3810.66,3.83,3.75,-25.3,-0.458,19.33,21.11,02a57398o0131c
57398.29323,9.788,0.132,441391,58315,c,0,233.19,10.70994,-2.78365,6122.68,5555.1,3.86,3.66,-80.9,-0.454,19.28,21.09,02a57398o0158c
57399.24099,9.677,0.065,488984,32006,c,0,0,10.96271,-2.63024,6413.54,4687.6,3.9,3.8,-88.7,-0.474,19.33,21.16,02a57399o0085c
57399.25694,9.352,0.096,659344,62969,c,0,306.24,10.96691,-2.62765,6717.57,5277.37,3.88,3.56,89.1,-0.45,19.35,21.17,02a57399o0111c
57399.2735,9.997,0.103,364235,37572,c,0,232.15,10.97127,-2.62496,5871.32,4120.88,3.94,3.81,-28.4,-0.463,19.32,21.13,02a57399o0138c
57399.29005,-9.922,0.201,-389984,78418,c,0,493,10.97564,-2.62227,5601.19,5866.27,3.89,3.68,-75.9,-0.445,19.28,21.1,02a57399o0165c
57408.22868,7.501,0.029,3628809,105245,o,0,25.48,13.48554,-1.1483,908.89,8184.89,4.12,3.69,-67.1,-0.445,18.44,19.46,02a57408o0073o
57408.24388,7.227,0.015,4670848,71622,o,0,14.31,13.48992,-1.14575,611.34,7604.56,4.37,3.74,-65.1,-0.452,18.39,19.43,02a57408o0098o
57408.25857,8.114,0.109,2063275,224978,o,0,20.21,13.49416,-1.1433,10323.43,7662.76,4.02,3.39,83.7,-0.487,18.41,19.38,02a57408o0122o
57408.26284,7.653,0.046,3153320,146273,o,0,28.39,13.49539,-1.14258,1471.92,8780.4,4.21,3.77,-64.9,-0.458,18.32,19.31,02a57408o0129o
57408.28172,7.211,0.013,4739887,62973,o,0,9.61,13.50085,-1.13942,1770.49,7034.43,4.1,3.55,-64.8,-0.458,18.27,19.18,02a57408o0160o
57421.21475,8.66,0.032,1247576,39395,c,0,139.37,17.48775,1.05309,7402.32,2894.47,4.13,3.92,87.3,-0.486,18.32,19.3,02a57421o0039c
57421.22482,9.194,0.051,762832,39016,c,0,359.58,17.49096,1.05481,7110.93,2313.02,4.37,4.13,7.1,-0.473,18.98,20.62,02a57421o0055c
57421.24267,9.142,0.025,799844,19641,c,0,6.2,17.49666,1.05787,8270.68,1736.02,4.62,4.18,11.4,-0.455,19.09,20.85,02a57421o0084c
57422.21434,8.662,0.024,1245262,29762,c,0,15.86,17.81138,1.22438,6565.74,3279.65,4.45,4.24,83.7,-0.396,18.19,19.15,02a57422o0036c
57422.22357,8.647,0.014,1261968,17969,c,0,48.29,17.81434,1.22596,6273.07,2701.74,4.3,4.26,47.3,-0.413,18.95,20.56,02a57422o0051c
57422.24082,9.131,0.041,808681,33464,c,0,2.73,17.81988,1.22892,7428.05,2128.07,4.21,4.03,9.3,-0.456,19.08,20.77,02a57422o0079c
57422.26214,8.282,0.013,1767553,22336,c,0,41.89,17.82674,1.23257,7572.85,2037.37,4.45,4.07,6.2,-0.447,19.05,20.73,02a57422o0114c
